STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,NO_OF_BRIDGES_COMPLETED,NO_OF_ROAD_WORKS_BALANCE,NO_OF_BRIDGES_BALANCE,LENGTH_OF_ROAD_WORK_SANCTIONED_KM,COST_OF_WORKS_SANCTIONED_LAKHS,LENGTH_OF_ROAD_WORK_COMPLETED_KM,EXPENDITURE_OCCURED_LAKHS,LENGTH_OF_ROAD_WORK_BALANCE_KM
"Andhra Pradesh",Anantapur,PMGSY-I,207,22,207,21,0,1,862.65,214.7772,854.249,213.899,0
"Andhra Pradesh",Anantapur,PMGSY-II,8,0,8,0,0,0,75.02,29.9953,74.961,27.1823,0
"Andhra Pradesh",Bapatla,PMGSY-II,6,0,6,0,0,0,53.43,28.7436,53.763,24.3953,0
"Andhra Pradesh","Dr BR Ambedkar Konaseema",PMGSY-I,209,8,209,8,0,0,443.65,126.9822,427.215,141.9707,0
"Andhra Pradesh",Guntur,PMGSY-II,4,0,4,0,0,0,35.1,17.3794,34.839,13.8579,0
"Andhra Pradesh",Guntur,PMGSY-III,11,3,5,0,6,3,68.444,61.4522,35.258,18.9649,32.776
"Andhra Pradesh",Nandyal,PMGSY-I,115,12,115,12,0,0,385.365,92.5398,365.51,48.7807,0
"Andhra Pradesh",Nellore,PMGSY-I,227,39,227,39,0,0,901.696,250.6012,862.573,239.3714,0
"Andhra Pradesh","Sri Sathya Sai",PMGSY-II,6,0,6,0,0,0,50.68,26.0758,49.658,21.8303,0
"Andhra Pradesh",Srikakulam,PMGSY-I,211,7,211,7,0,0,561.36,123.0353,560.68,120.4759,0
"Andhra Pradesh",Srikakulam,RCPLWEA,12,1,10,1,2,0,68.146,54.8566,63.047,49.2557,1.678
"Andhra Pradesh",Srikakulam,PMGSY-III,16,10,15,0,1,10,121.865,133.01448,113.667,64.3856,4.8
"Andhra Pradesh","West Godavari",PMGSY-I,157,5,157,5,0,0,311.412,75.9481,303.043,55.5522,0
"Andhra Pradesh","West Godavari",PMGSY-III,7,1,3,0,4,1,45.09,50.4731,14.435,8.1745,30.14
"Arunachal Pradesh","Dibang Valley",PMGSY-III,3,3,0,0,3,3,26.2,47.3487,0,0,26.2
"Arunachal Pradesh","Lower Subansiri",PMGSY-III,12,3,4,2,8,1,83.17,79.9842,35.84,41.4659,47.33
"Arunachal Pradesh","Pakke kessang",PMGSY-I,16,3,16,3,0,0,184.28,123.1649,184.28,120.0708,0
"Arunachal Pradesh","Shi Yomi",PMGSY-II,1,0,1,0,0,0,7.18,3.7164,5.295,3.0357,0
"Arunachal Pradesh",Tirap,PMGSY-II,2,0,2,0,0,0,11,8.2416,11,7.8375,0
"Arunachal Pradesh","Upper Siang",PMGSY-I,45,17,42,11,3,6,547.941,412.68226,503.795,394.6795,38.951
"Arunachal Pradesh","West Siang",PMGSY-II,4,0,4,0,0,0,21.05,17.2134,21.05,16.0836,0
Assam,Baksa,PMGSY-III,14,2,9,1,5,1,85.271,55.9084,73.326,41.6701,11.945
Assam,Barpeta,PMGSY-I,411,160,406,157,5,3,1326.201,1315.1108,1300.266,1375.2413,13.105
